Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
2,253.81194305419922,14.14342908242831,10,tarapoto,2018,2018-02-01,2
3,250.71292283799914,11.998842275252311,9,tarapoto,2018,2018-03-01,2
4,245.184814453125,7.556460733914847,5,tarapoto,2018,2018-04-01,2
5,252.17997087751115,10.809850108111782,7,tarapoto,2018,2018-05-01,2
6,254.55202484130862,0.8997118097351878,2,tarapoto,2018,2018-06-01,2
7,236.24896918402777,12.021833422128843,9,tarapoto,2018,2018-07-01,2
8,222.7938856645064,13.083815604699714,11,tarapoto,2018,2018-08-01,2
9,227.76067860921225,9.448826562091913,12,tarapoto,2018,2018-09-01,2
10,244.77483520507812,17.56099066921785,5,tarapoto,2018,2018-10-01,2
11,234.87930976019965,13.065897386819607,9,tarapoto,2018,2018-11-01,2
12,233.4385334361683,15.312323333157007,11,tarapoto,2018,2018-12-01,2
1,232.24749946594238,8.767609076766686,8,tarapoto,2019,2019-01-01,2
2,230.9254746870561,8.114046671465694,11,tarapoto,2019,2019-02-01,2
3,236.95589599609374,7.81133821926981,10,tarapoto,2019,2019-03-01,2
4,247.42298316955566,7.6055531275094514,8,tarapoto,2019,2019-04-01,2
5,242.87791061401367,15.139998607594565,8,tarapoto,2019,2019-05-01,2
6,248.16287818321814,14.861001790581932,13,tarapoto,2019,2019-06-01,2
7,249.5165049235026,7.547944368449218,6,tarapoto,2019,2019-07-01,2
8,242.09059281782672,8.684921223182112,11,tarapoto,2019,2019-08-01,2
9,245.16834259033203,24.57024750328931,8,tarapoto,2019,2019-09-01,2
10,225.8283405303955,14.244605025417924,8,tarapoto,2019,2019-10-01,2
11,249.25768715994698,17.580860624680334,14,tarapoto,2019,2019-11-01,2
12,245.55000860040838,10.01928294932698,11,tarapoto,2019,2019-12-01,2
1,251.21179656982423,9.418394054439398,10,tarapoto,2020,2020-01-01,2
2,244.97508430480957,6.634668021469153,8,tarapoto,2020,2020-02-01,2
3,234.8960963657924,9.061139715201557,7,tarapoto,2020,2020-03-01,2
4,243.2144998403696,11.773869781165292,13,tarapoto,2020,2020-04-01,2
5,242.6604461669922,22.963284816754808,5,tarapoto,2020,2020-05-01,2
6,252.6182386610243,12.864297325715869,9,tarapoto,2020,2020-06-01,2
7,240.61168060302734,10.019674188528802,10,tarapoto,2020,2020-07-01,2
8,244.6923086983817,21.5132233174327,7,tarapoto,2020,2020-08-01,2
9,244.35408455984933,12.293084547360477,14,tarapoto,2020,2020-09-01,2
10,242.8138256072998,15.93390192750598,8,tarapoto,2020,2020-10-01,2
11,243.09049155495384,9.412815305242816,11,tarapoto,2020,2020-11-01,2
12,245.47852749294705,9.135958136958559,9,tarapoto,2020,2020-12-01,2
1,255.01799992152624,15.234957410335783,14,tarapoto,2021,2021-01-01,2
2,245.2838649749756,9.679545998377266,8,tarapoto,2021,2021-02-01,2
