Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
4,4.299929398756761,0.20188288698821916,13,tarapoto,2006,2006-04-01,2
5,4.08250997283242,0.13891275898230027,11,tarapoto,2006,2006-05-01,2
6,4.295043211716872,0.23708436449639084,13,tarapoto,2006,2006-06-01,2
7,4.210710452153132,0.29054263800055574,13,tarapoto,2006,2006-07-01,2
8,4.191449463367462,0.19174805713913104,12,tarapoto,2006,2006-08-01,2
9,3.836786158879598,0.2009833871906928,15,tarapoto,2006,2006-09-01,2
10,3.6370311883779674,0.15328963202740764,13,tarapoto,2006,2006-10-01,2
11,3.5832133943384346,0.19703934985049495,11,tarapoto,2006,2006-11-01,2
12,3.4890571236610413,0.21333039534912102,12,tarapoto,2006,2006-12-01,2
1,3.4201471507549286,0.11512969530693598,8,tarapoto,2007,2007-01-01,2
2,3.4102516969045005,0.1563737181008017,15,tarapoto,2007,2007-02-01,2
3,3.548627177874247,0.23729887970278815,12,tarapoto,2007,2007-03-01,2
4,3.6976746045626125,0.17638395664467738,13,tarapoto,2007,2007-04-01,2
5,3.547383666038513,0.11828578263607123,16,tarapoto,2007,2007-05-01,2
6,3.502130635579427,0.2676483032286554,15,tarapoto,2007,2007-06-01,2
7,3.436461301950308,0.12304696298252413,13,tarapoto,2007,2007-07-01,2
8,3.442146877447764,0.1723230650844446,12,tarapoto,2007,2007-08-01,2
9,3.4750455617904663,0.13926793740013613,12,tarapoto,2007,2007-09-01,2
10,3.329122708393977,0.12024421176073963,13,tarapoto,2007,2007-10-01,2
11,3.489311456680298,0.13100520760759504,15,tarapoto,2007,2007-11-01,2
12,3.546929065997784,0.24400009577648363,13,tarapoto,2007,2007-12-01,2
1,3.673912729535784,0.19066822184465815,14,tarapoto,2008,2008-01-01,2
2,3.8534575700759888,0.20220711984098824,8,tarapoto,2008,2008-02-01,2
3,4.126862903436025,0.1828521464511262,12,tarapoto,2008,2008-03-01,2
4,4.151681555642022,0.15573983815594916,9,tarapoto,2008,2008-04-01,2
5,4.118452262878418,0.10834133435471281,10,tarapoto,2008,2008-05-01,2
6,4.277905736650739,0.13760346151617397,14,tarapoto,2008,2008-06-01,2
7,4.272326762859638,0.23661521762850896,13,tarapoto,2008,2008-07-01,2
8,4.1027816258944,0.16264591342598222,13,tarapoto,2008,2008-08-01,2
9,3.93947502544948,0.20961677472088364,14,tarapoto,2008,2008-09-01,2
10,3.640098825097084,0.17769651400421319,16,tarapoto,2008,2008-10-01,2
11,3.5271742173603604,0.17240040233710294,14,tarapoto,2008,2008-11-01,2
12,3.6361889044443765,0.13490809700944945,12,tarapoto,2008,2008-12-01,2
1,3.4751632580390344,0.19716857858523504,13,tarapoto,2009,2009-01-01,2
2,3.462987704710527,0.13138575214477885,11,tarapoto,2009,2009-02-01,2
3,3.7443957130114236,0.1290754280165813,12,tarapoto,2009,2009-03-01,2
4,3.7078180529854516,0.18855313193445758,11,tarapoto,2009,2009-04-01,2
5,3.816515335669884,0.14605974570616165,13,tarapoto,2009,2009-05-01,2
6,3.6437037331717357,0.07409174857366267,14,tarapoto,2009,2009-06-01,2
7,3.552034616470337,0.1299587038531233,13,tarapoto,2009,2009-07-01,2
8,3.4848772585392,0.14860575972053514,16,tarapoto,2009,2009-08-01,2
9,3.560647174715996,0.11045882471703845,16,tarapoto,2009,2009-09-01,2
10,3.522584311167399,0.11662411902034062,15,tarapoto,2009,2009-10-01,2
11,3.450925906499227,0.15938953909315381,15,tarapoto,2009,2009-11-01,2
12,3.257483353981605,0.09779960844992816,13,tarapoto,2009,2009-12-01,2
1,3.345234171549479,0.18369218398048912,15,tarapoto,2010,2010-01-01,2
2,3.1643641789754233,0.18646341915808626,15,tarapoto,2010,2010-02-01,2
3,3.3834657669067383,0.1605433874332726,14,tarapoto,2010,2010-03-01,2
4,3.587301731109619,0.15664908263618074,10,tarapoto,2010,2010-04-01,2
5,3.5557498931884766,0.20365234635676815,12,tarapoto,2010,2010-05-01,2
6,3.644071936607361,0.17908354947141025,16,tarapoto,2010,2010-06-01,2
7,4.14249961078167,0.25848502632478826,16,tarapoto,2010,2010-07-01,2
8,4.185363098978996,0.27152186767547254,16,tarapoto,2010,2010-08-01,2
9,4.065967857837677,0.1260163158793618,16,tarapoto,2010,2010-09-01,2
10,4.10355396270752,0.17932408162265412,10,tarapoto,2010,2010-10-01,2
11,4.0237132202495225,0.20289296427797593,11,tarapoto,2010,2010-11-01,2
12,3.843760692156278,0.1768605862932032,13,tarapoto,2010,2010-12-01,2
1,3.6859444104708157,0.20197184858886766,13,tarapoto,2011,2011-01-01,2
2,3.7783123254776,0.15389421085733487,12,tarapoto,2011,2011-02-01,2
3,3.7652200162410736,0.2092991477682918,8,tarapoto,2011,2011-03-01,2
4,3.75231671333313,0.08356440636571298,5,tarapoto,2011,2011-04-01,2
5,3.6357748210430145,0.12311529469522337,16,tarapoto,2011,2011-05-01,2
6,3.603000783920288,0.16499635312658634,15,tarapoto,2011,2011-06-01,2
7,3.673157662153244,0.16740615225858968,16,tarapoto,2011,2011-07-01,2
8,3.6674541510068455,0.18074919365313505,13,tarapoto,2011,2011-08-01,2
9,3.73048079930819,0.09852156585006105,13,tarapoto,2011,2011-09-01,2
10,3.851147206624349,0.1722735380303862,15,tarapoto,2011,2011-10-01,2
11,3.6991831339322605,0.16318748400609054,13,tarapoto,2011,2011-11-01,2
